날짜,설명,카테고리,금액,메모
2026-06-01,넷플릭스,구독,13500,프리미엄
2026-06-01,스타벅스 강남R점,카페,5800,
2026-06-02,이마트 성수점,생활,72300,장보기
2026-06-02,김밥천국,식비,8000,점심
2026-06-03,카카오T 택시,교통,8600,
2026-06-04,배달의민족,식비,21500,저녁 배달
2026-06-05,올리브영,쇼핑,26800,선크림
2026-06-06,CGV 왕십리,문화,16000,주말 영화
2026-06-07,투썸플레이스,카페,11200,브런치
2026-06-08,통신요금 SKT,공과금,55000,휴대폰
2026-06-09,쿠팡,쇼핑,33400,생필품
2026-06-10,메가커피,카페,2500,
2026-06-10,한솥도시락,식비,5800,점심
2026-06-11,약국,의료,6200,비타민
2026-06-12,무신사,쇼핑,58000,여름 바지
2026-06-13,배달의민족,식비,18900,점심 배달
2026-06-13,스타벅스 선릉점,카페,6100,
2026-06-14,홈플러스,생활,49200,주간 장보기
2026-06-14,교보문고,문화,22400,서적
